adauga_produs,2019-05-03 18:55:49.025
sterge_produs,2019-05-03 18:56:11.854
concediaza_ospatar,2019-05-03 18:56:31.082
comanda_simpla,2019-05-03 18:57:03.511
adauga_produs,2019-05-03 19:11:05.735
sterge_produs,2019-05-03 19:11:31.326
adauga_produs,2019-05-03 19:11:40.871
adauga_ospatar,2019-05-03 19:12:52.561
afiseaza_profil_ospatar,2019-05-03 19:12:59.84
afiseaza_profil_ospatar,2019-05-03 19:17:29.657
afiseaza_profil_ospatar,2019-05-03 19:18:28.673
afiseaza_profil_ospatar,2019-05-03 19:21:32.615
adauga_produs,2019-05-03 19:22:21.171
sterge_produs,2019-05-03 19:23:17.174
adauga_produs,2019-05-03 19:23:29.227
adauga_produs,2019-05-03 19:23:55.864
sterge_produs,2019-05-03 19:24:15.458
adauga_ospatar,2019-05-03 19:24:35.845
afiseaza_profil_ospatar,2019-05-03 19:24:41.803
concediaza_ospatar,2019-05-03 19:24:56.705
afiseaza_profil_ospatar,2019-05-03 19:25:04.843
comanda_simpla,2019-05-03 19:26:27.043
afiseaza_profil_ospatar,2019-05-03 19:26:42.306
comanda_simpla,2019-05-03 19:27:02.456
comanda_simpla,2019-05-03 19:27:16.248
afiseaza_profil_ospatar,2019-05-03 19:27:32.67
adauga_produs,2019-05-03 19:39:52.21
sterge_produs,2019-05-03 19:40:11.032
adauga_ospatar,2019-05-03 19:40:50.702
concediaza_ospatar,2019-05-03 19:41:19.541
comanda_simpla,2019-05-03 19:41:57.563
afiseaza_profil_ospatar,2019-05-03 19:42:05.513
comanda_online,2019-05-03 20:10:00.123
comanda_online,2019-05-03 20:11:55.421
afiseaza_profil_ospatar,2019-05-03 20:12:16.764
comanda_online,2019-05-03 20:17:26.533
